order_id,customer_id,order_date,status,region_code
1,135,2023-11-25 01:44:32,DELIVERED,CENTRAL
2,517,2023-09-20 12:12:28,PLACED,NORTH
3,385,2025-09-21 16:54:01,SHIPPED,CENTRAL
4,50,2025-07-11 15:05:38,RETURNED,NORTH
5,21,2023-03-16 22:19:59,DELIVERED,WEST
6,455,2024-08-13 16:53:16,PLACED,EAST
7,486,2025-12-26 07:32:37,SHIPPED,NORTH
8,309,2024-10-15 19:13:30,DELIVERED,CENTRAL
9,277,2025-08-25 00:00:00,DELIVERED,SOUTH
10,429,2023-06-12 00:00:00,DELIVERED,CENTRAL
11,121,2024-03-15 04:04:20,PLACED,NORTH
12,510,2023-11-05 14:05:03,DELIVERED,EAST
13,536,2023-11-10 06:55:17,DELIVERED,WEST
14,303,2023-09-07 03:09:40,PLACED,WEST
15,213,2025-12-05 02:06:05,RETURNED,EAST
16,,2023-12-31 06:59:24,PLACED,NORTH
17,114,2025-06-10 21:57:59,DELIVERED,SOUTH
18,93,2025-03-05 21:45:29,PLACED,NORTH
19,263,2025-09-27 22:37:00,SHIPPED,EAST
20,271,2024-12-22 05:30:52,PLACED,SOUTH
21,41,2024-03-27 09:07:46,DELIVERED,EAST
22,437,2023-06-30 01:06:16,PLACED,NORTH
23,10,2023-08-03 23:43:07,DELIVERED,SOUTH
24,337,2024-07-09 09:35:15,CANCELLED,CENTRAL
25,275,2023-05-25 09:28:34,DELIVERED,EAST
26,188,2023-06-26 19:57:52,DELIVERED,WEST
27,279,2024-08-22 04:30:56,DELIVERED,WEST
28,432,2025-10-04 22:45:00,CANCELLED,SOUTH
29,116,2023-07-25 00:00:00,DELIVERED,NORTH
30,164,2023-06-11 02:42:17,DELIVERED,CENTRAL
31,495,2025-06-02 19:44:54,DELIVERED,SOUTH
32,389,2024-07-11 01:32:11,DELIVERED,SOUTH
33,495,2025-01-28 06:32:10,PLACED,WEST
34,452,2023-03-13 09:58:21,PLACED,EAST
35,13,2025-12-30 12:12:19,CANCELLED,CENTRAL
36,591,2025-05-27 17:10:57,SHIPPED,EAST
37,532,2025-03-23 00:00:00,DELIVERED,CENTRAL
38,98,2024-11-03 09:44:22,DELIVERED,SOUTH
39,494,2024-06-21 02:28:30,DELIVERED,WEST
40,153,2025-05-17 00:00:00,CANCELLED,CENTRAL
41,56,2023-01-19 02:09:07,DELIVERED,SOUTH
42,518,2024-12-30 00:21:34,CANCELLED,SOUTH
43,77,2025-02-02 17:57:52,SHIPPED,EAST
44,285,2023-03-20 05:12:38,DELIVERED,CENTRAL
45,388,2024-09-18 11:15:21,CANCELLED,NORTH
46,471,2024-11-21 00:33:41,CANCELLED,WEST
47,91,2025-02-13 07:47:31,DELIVERED,NORTH
48,510,2025-10-11 23:30:40,PLACED,WEST
49,423,2023-02-25 15:54:40,DELIVERED,NORTH
50,94,2025-07-27 14:19:50,RETURNED,EAST
51,521,2025-05-23 13:16:40,SHIPPED,WEST
52,350,2024-07-18 10:23:21,CANCELLED,SOUTH
53,,2024-12-06 23:29:46,SHIPPED,CENTRAL
54,485,2025-10-17 20:58:09,DELIVERED,WEST
